1	4	1	2022-04-10 17:46:05.358217
2	7	1	2022-04-10 17:46:05.358224
3	31	1	2022-04-10 17:46:05.358226
4	17	2	2022-04-10 17:46:05.363163
5	21	2	2022-04-10 17:46:05.363169
6	8	3	2022-04-10 17:46:05.367422
7	23	4	2022-04-10 17:46:05.37098
8	7	5	2022-04-10 17:46:05.374519
9	8	5	2022-04-10 17:46:05.374525
10	21	5	2022-04-10 17:46:05.374528
11	17	5	2022-04-10 17:46:05.37453
12	7	6	2022-04-10 17:46:05.378071
13	21	6	2022-04-10 17:46:05.378077
14	21	7	2022-04-10 17:46:05.381392
15	2	8	2022-04-10 17:46:05.38496
16	23	8	2022-04-10 17:46:05.384967
17	8	8	2022-04-10 17:46:05.38497
18	8	9	2022-04-10 17:46:05.388363
19	23	9	2022-04-10 17:46:05.38837
20	8	10	2022-04-10 17:46:05.393376
21	21	10	2022-04-10 17:46:05.393382
22	26	10	2022-04-10 17:46:05.393385
23	20	11	2022-04-10 17:46:05.397253
24	19	11	2022-04-10 17:46:05.397259
25	22	11	2022-04-10 17:46:05.397262
26	23	11	2022-04-10 17:46:05.397264
27	3	12	2022-04-10 17:46:05.404207
28	17	12	2022-04-10 17:46:05.404215
29	1	12	2022-04-10 17:46:05.404218
30	21	14	2022-04-10 17:46:05.410125
31	17	14	2022-04-10 17:46:05.410131
32	3	14	2022-04-10 17:46:05.410133
33	22	15	2022-04-10 17:46:05.413613
34	17	15	2022-04-10 17:46:05.413619
35	8	15	2022-04-10 17:46:05.413621
36	27	16	2022-04-10 17:46:05.417243
37	9	16	2022-04-10 17:46:05.41725
38	5	18	2022-04-10 17:46:05.42249
39	15	19	2022-04-10 17:46:05.425581
40	18	20	2022-04-10 17:46:05.428874
41	1	20	2022-04-10 17:46:05.428881
42	5	20	2022-04-10 17:46:05.428884
43	20	21	2022-04-10 17:46:05.432148
44	20	22	2022-04-10 17:46:05.436517
45	15	22	2022-04-10 17:46:05.436524
46	1	22	2022-04-10 17:46:05.436526
47	18	22	2022-04-10 17:46:05.436529
