1	21	1	2022-04-10 17:46:04.343572
2	17	2	2022-04-10 17:46:04.351122
3	21	2	2022-04-10 17:46:04.35113
4	4	3	2022-04-10 17:46:04.35591
5	17	3	2022-04-10 17:46:04.355918
6	31	3	2022-04-10 17:46:04.35592
7	7	3	2022-04-10 17:46:04.355923
8	2	3	2022-04-10 17:46:04.355925
9	17	4	2022-04-10 17:46:04.360263
10	7	4	2022-04-10 17:46:04.36027
11	2	4	2022-04-10 17:46:04.360273
12	8	4	2022-04-10 17:46:04.360275
13	17	5	2022-04-10 17:46:04.363736
14	23	6	2022-04-10 17:46:04.367896
15	17	6	2022-04-10 17:46:04.367912
16	23	7	2022-04-10 17:46:04.374113
17	26	7	2022-04-10 17:46:04.37412
18	2	8	2022-04-10 17:46:04.378064
19	4	10	2022-04-10 17:46:04.387243
20	2	10	2022-04-10 17:46:04.387249
21	7	10	2022-04-10 17:46:04.387252
22	20	11	2022-04-10 17:46:04.391003
23	27	11	2022-04-10 17:46:04.39101
24	27	12	2022-04-10 17:46:04.394557
25	17	12	2022-04-10 17:46:04.394563
26	21	12	2022-04-10 17:46:04.394565
27	3	12	2022-04-10 17:46:04.394568
28	27	13	2022-04-10 17:46:04.39865
29	17	13	2022-04-10 17:46:04.398657
30	22	13	2022-04-10 17:46:04.398659
31	9	13	2022-04-10 17:46:04.398662
32	21	13	2022-04-10 17:46:04.398664
33	22	14	2022-04-10 17:46:04.402462
34	19	14	2022-04-10 17:46:04.402468
35	27	14	2022-04-10 17:46:04.402471
36	1	14	2022-04-10 17:46:04.402473
37	22	17	2022-04-10 17:46:04.410061
38	20	17	2022-04-10 17:46:04.410068
39	9	17	2022-04-10 17:46:04.410071
40	17	17	2022-04-10 17:46:04.410073
41	25	18	2022-04-10 17:46:04.413615
42	5	18	2022-04-10 17:46:04.413621
43	6	18	2022-04-10 17:46:04.413624
44	1	19	2022-04-10 17:46:04.41706
45	2	20	2022-04-10 17:46:04.420309
46	5	21	2022-04-10 17:46:04.423738
47	20	21	2022-04-10 17:46:04.423744
48	18	21	2022-04-10 17:46:04.423747
49	2	21	2022-04-10 17:46:04.42375
50	15	21	2022-04-10 17:46:04.423752
51	26	22	2022-04-10 17:46:04.427496
52	2	22	2022-04-10 17:46:04.427503
53	1	23	2022-04-10 17:46:04.430619
54	17	24	2022-04-10 17:46:04.435127
55	15	24	2022-04-10 17:46:04.435135
56	18	24	2022-04-10 17:46:04.435137
57	5	24	2022-04-10 17:46:04.435139
58	26	24	2022-04-10 17:46:04.435141
